at epoch 0:{'loss': 0.4452393054962158, 'accuracy': 0.7852692008018494, 'auc': 0.8708975315093994, 'val_loss': 2.165666341781616, 'val_accuracy': 0.7845669984817505, 'val_auc': 0.8701340556144714, 'lr': 0.00060025003}

at epoch 1:{'loss': 0.4451194405555725, 'accuracy': 0.78522127866745, 'auc': 0.8709638714790344, 'val_loss': 0.8927901983261108, 'val_accuracy': 0.784466028213501, 'val_auc': 0.8700002431869507, 'lr': 0.00060025003}

at epoch 2:{'loss': 0.44487690925598145, 'accuracy': 0.7853940725326538, 'auc': 0.8711181282997131, 'val_loss': 0.5205112099647522, 'val_accuracy': 0.7838659882545471, 'val_auc': 0.8696579933166504, 'lr': 0.00060025003}

at epoch 3:{'loss': 0.4449559450149536, 'accuracy': 0.7854893803596497, 'auc': 0.8710715174674988, 'val_loss': 4.035292148590088, 'val_accuracy': 0.7845900058746338, 'val_auc': 0.8700782656669617, 'lr': 0.00060025003}

at epoch 4:{'loss': 0.44487226009368896, 'accuracy': 0.7856035232543945, 'auc': 0.8711187839508057, 'val_loss': 0.6830815672874451, 'val_accuracy': 0.7844390273094177, 'val_auc': 0.8698679804801941, 'lr': 0.00060025003}

at epoch 5:{'loss': 0.4447838068008423, 'accuracy': 0.7854087948799133, 'auc': 0.8711897730827332, 'val_loss': 54096.66015625, 'val_accuracy': 0.7844269871711731, 'val_auc': 0.8698440790176392, 'lr': 0.00060025003}

at epoch 6:{'loss': 0.44471314549446106, 'accuracy': 0.785544216632843, 'auc': 0.8712267279624939, 'val_loss': 0.9731377363204956, 'val_accuracy': 0.7839469909667969, 'val_auc': 0.8695899248123169, 'lr': 0.00060025003}

at epoch 7:{'loss': 0.4444790482521057, 'accuracy': 0.785669207572937, 'auc': 0.8713732957839966, 'val_loss': 0.44668737053871155, 'val_accuracy': 0.7844949960708618, 'val_auc': 0.87004154920578, 'lr': 0.00060025003}

at epoch 8:{'loss': 0.4445053040981293, 'accuracy': 0.7856650948524475, 'auc': 0.8713515400886536, 'val_loss': 2.545509099960327, 'val_accuracy': 0.7843260169029236, 'val_auc': 0.8698633313179016, 'lr': 0.00060025003}

at epoch 9:{'loss': 0.4444124400615692, 'accuracy': 0.7856717705726624, 'auc': 0.8714173436164856, 'val_loss': 0.48710960149765015, 'val_accuracy': 0.784525990486145, 'val_auc': 0.8702415823936462, 'lr': 0.00060025003}

at epoch 10:{'loss': 0.4443325400352478, 'accuracy': 0.7858644127845764, 'auc': 0.8714680075645447, 'val_loss': 0.48382803797721863, 'val_accuracy': 0.7846609950065613, 'val_auc': 0.8700898885726929, 'lr': 0.00060025003}

at epoch 11:{'loss': 0.4443433880805969, 'accuracy': 0.7857384085655212, 'auc': 0.8714443445205688, 'val_loss': 42840.09765625, 'val_accuracy': 0.7845249772071838, 'val_auc': 0.8701831698417664, 'lr': 0.00060025003}

at epoch 12:{'loss': 0.4442150592803955, 'accuracy': 0.7858850955963135, 'auc': 0.871559202671051, 'val_loss': 0.44685015082359314, 'val_accuracy': 0.784741997718811, 'val_auc': 0.8700182437896729, 'lr': 0.00060025003}

at epoch 13:{'loss': 0.44369450211524963, 'accuracy': 0.7861741781234741, 'auc': 0.8718685507774353, 'val_loss': 0.4640824794769287, 'val_accuracy': 0.7850059866905212, 'val_auc': 0.8704537749290466, 'lr': 0.00042017503}

at epoch 14:{'loss': 0.4435139000415802, 'accuracy': 0.7862080931663513, 'auc': 0.8719781637191772, 'val_loss': 0.5063101053237915, 'val_accuracy': 0.7848269939422607, 'val_auc': 0.8702768683433533, 'lr': 0.00042017503}

at epoch 15:{'loss': 0.4434537887573242, 'accuracy': 0.7862579822540283, 'auc': 0.8720131516456604, 'val_loss': 0.4693959355354309, 'val_accuracy': 0.7847679853439331, 'val_auc': 0.8703945875167847, 'lr': 0.00042017503}

at epoch 16:{'loss': 0.4433731138706207, 'accuracy': 0.786372184753418, 'auc': 0.8720647096633911, 'val_loss': 0.4497092366218567, 'val_accuracy': 0.7846559882164001, 'val_auc': 0.8705032467842102, 'lr': 0.00042017503}

at epoch 17:{'loss': 0.44340771436691284, 'accuracy': 0.7864164710044861, 'auc': 0.8720505237579346, 'val_loss': 0.4462331235408783, 'val_accuracy': 0.7849590182304382, 'val_auc': 0.8704500794410706, 'lr': 0.00042017503}

at epoch 18:{'loss': 0.44333416223526, 'accuracy': 0.786497175693512, 'auc': 0.8720999360084534, 'val_loss': 0.8140530586242676, 'val_accuracy': 0.7845820188522339, 'val_auc': 0.8701916337013245, 'lr': 0.00042017503}

at epoch 19:{'loss': 0.4432116448879242, 'accuracy': 0.7864280939102173, 'auc': 0.8721757531166077, 'val_loss': 0.503034234046936, 'val_accuracy': 0.784434974193573, 'val_auc': 0.8703584671020508, 'lr': 0.00042017503}

at epoch 0:{'loss': 0.4431563913822174, 'accuracy': 0.7864758968353271, 'auc': 0.8722016215324402, 'val_loss': 0.5553719997406006, 'val_accuracy': 0.7847170233726501, 'val_auc': 0.8702429533004761, 'lr': 0.00042017503}

at epoch 1:{'loss': 0.44303449988365173, 'accuracy': 0.7865694761276245, 'auc': 0.8722929358482361, 'val_loss': 0.44625023007392883, 'val_accuracy': 0.7848569750785828, 'val_auc': 0.8703399300575256, 'lr': 0.00042017503}

at epoch 2:{'loss': 0.44294148683547974, 'accuracy': 0.7866505980491638, 'auc': 0.8723577260971069, 'val_loss': 0.4883098602294922, 'val_accuracy': 0.7850379943847656, 'val_auc': 0.8704737424850464, 'lr': 0.00042017503}

at epoch 3:{'loss': 0.44295886158943176, 'accuracy': 0.7865535020828247, 'auc': 0.8723308444023132, 'val_loss': 0.44604185223579407, 'val_accuracy': 0.7850810289382935, 'val_auc': 0.87056565284729, 'lr': 0.00042017503}

at epoch 4:{'loss': 0.44284170866012573, 'accuracy': 0.7866969704627991, 'auc': 0.8724173307418823, 'val_loss': 705.1889038085938, 'val_accuracy': 0.7850160002708435, 'val_auc': 0.8704674243927002, 'lr': 0.00042017503}

at epoch 5:{'loss': 0.4428444504737854, 'accuracy': 0.7866923213005066, 'auc': 0.8724077939987183, 'val_loss': 0.44620347023010254, 'val_accuracy': 0.784932017326355, 'val_auc': 0.8703835606575012, 'lr': 0.00042017503}

at epoch 6:{'loss': 0.4428597092628479, 'accuracy': 0.7866567969322205, 'auc': 0.8724012970924377, 'val_loss': 339.0149230957031, 'val_accuracy': 0.7840179800987244, 'val_auc': 0.8700353503227234, 'lr': 0.00042017503}

at epoch 7:{'loss': 0.4427993595600128, 'accuracy': 0.7866870760917664, 'auc': 0.8724361062049866, 'val_loss': 0.45875465869903564, 'val_accuracy': 0.7849379777908325, 'val_auc': 0.8705053925514221, 'lr': 0.00042017503}

at epoch 8:{'loss': 0.44237610697746277, 'accuracy': 0.7869560122489929, 'auc': 0.8727012276649475, 'val_loss': 0.44588834047317505, 'val_accuracy': 0.78507000207901, 'val_auc': 0.8705784678459167, 'lr': 0.00029412252}

